group,n_eval,trace_cov_mean,trace_cov_std,mean_err_post_mean,mean_err_post_std,mean_err_train_point_mean,mean_err_train_point_std,dist_to_nearest_other_mean,dist_to_nearest_other_std,ratio_own_vs_other_mean,ratio_own_vs_other_std,vel_rel_err_mean_mean,vel_rel_err_mean_std,vel_rel_err_median_mean,vel_rel_err_median_std,vel_abs_err_mean_mean,vel_abs_err_mean_std,trace_post,iter,train_loss,elapsed_s,dist_to_nearest_train_mean,dist_to_nearest_train_std
train,20,2.8449652109921226,0.08876741355693045,1.0549769912832017,0.5122378643966758,1.279490823541174,0.5596181715358182,1.8976146317886122,0.3616877618814984,0.7046657375266843,0.340839537393458,0.5633737817406654,0.05612049399798766,0.561381259560585,0.062249412076393854,2.448435914516449,0.28835223122231085,0.6041425206996448,100,14.5145999538919,34.25087785720825,,
heldout,8,2.897134207478211,0.13402044712985792,0.9374765064591443,0.3880231615189526,,,,,,,,,,,,,0.6041425206996448,100,14.5145999538919,34.25087785720825,1.8912279587094791,0.2503752252047088
train,20,1.2525120021734293,0.03225228768264257,0.5707057811204426,0.32181853465154037,0.8731397479883791,0.5703792159652851,1.9785718325686958,0.47629836723161595,0.4872500639123829,0.36494012702767986,0.3699065551161766,0.06341722453025078,0.34734201803803444,0.07442634558726989,1.6070815563201903,0.3297477156602921,0.6041425206996448,300,5.597170345420282,59.45787286758423,,
heldout,8,1.2292287465876939,0.06650420174401599,0.5713323290266488,0.3340755178093398,,,,,,,,,,,,,0.6041425206996448,300,5.597170345420282,59.45787286758423,1.9798626834716484,0.1781796002522233
train,20,1.2933249712683903,0.12500466878356467,0.4481590928345615,0.2858290459035254,0.7734908172807311,0.5175168681135109,2.0137525607912385,0.4790330104495371,0.4217695532921201,0.32976751001756205,0.3255844198167324,0.05951498650522422,0.30200075134634974,0.06773504026855086,1.4094028651714325,0.29708088835405216,0.6041425206996448,1000,2.9452343322318257,81.04567050933838,,
heldout,8,1.2074672413390086,0.12418506441317692,0.6052221036520249,0.35803255445603543,,,,,,,,,,,,,0.6041425206996448,1000,2.9452343322318257,81.04567050933838,2.0407218767877775,0.21611430873354057
train,20,0.2978948259107817,0.08517241618716472,0.4410419811061074,0.27843566357075034,0.4812512102832809,0.26418285222015886,2.135360718149045,0.4692763299677857,0.23750675097560076,0.1479150975683885,0.23688735738396643,0.062223945957209474,0.20212201699614524,0.06760225913623089,1.0053866237401963,0.2319428392115436,0.6041425206996448,3000,1.7541683662373158,107.5790741443634,,
heldout,8,0.2392779429413034,0.07088344552957744,0.4605809639765379,0.3222027403973236,,,,,,,,,,,,,0.6041425206996448,3000,1.7541683662373158,107.5790741443634,2.0515351739343988,0.23444594528670631
train,20,0.021862447880015574,0.008297823161790474,0.5561922825082396,0.316712415773676,0.10283880214046062,0.035336638551158775,2.207090138471618,0.43439933829117555,0.047751225216191844,0.01754645385673283,0.11125543490052223,0.01665318808758447,0.09269835576415061,0.012533920532738533,0.4778112009167671,0.07625945605113175,0.6041425206996448,10000,0.6787228667289736,151.75033116340637,,
heldout,8,0.022572177846832804,0.007322268575051136,0.663299680618027,0.425179956586175,,,,,,,,,,,,,0.6041425206996448,10000,0.6787228667289736,151.75033116340637,1.9843602827401539,0.1662685496152655
train,20,0.007005278426784041,0.002035798871078881,0.5677141581150004,0.3205548083885031,0.0778766567764623,0.02755978925066356,2.2035166918084017,0.4343654120293462,0.03558134591860698,0.01029060807151988,0.08277280740439892,0.012284061340763706,0.06863105222582817,0.007787988493635353,0.3580983206629753,0.0666499749567805,0.6041425206996448,30000,0.4208000973336148,240.5384590625763,,
heldout,8,0.0060059578347296865,0.0012288069289392212,0.5490228472241443,0.32727007086187254,,,,,,,,,,,,,0.6041425206996448,30000,0.4208000973336148,240.5384590625763,1.9927593437508215,0.18098378556779976
train,20,0.003177064801349462,0.0008317975557601263,0.5779848931677686,0.33880866768371354,0.05048836237535208,0.015600358823860282,2.2127293381962727,0.443371888341335,0.023725688201577833,0.008255586084721434,0.068792824447155,0.00791871305635383,0.05989511255174875,0.00613927463828428,0.29567049965262415,0.04416248287305509,0.6041425206996448,100000,0.2818078289768724,527.0530593395233,,
heldout,8,0.0035204656713029,0.0018341659115077708,0.5116152969621593,0.3352751334986013,,,,,,,,,,,,,0.6041425206996448,100000,0.2818078289768724,527.0530593395233,1.9935169618069557,0.2025882341945905
train,20,0.002065317356245344,0.0007933927785254403,0.5661739981325739,0.32063216358388885,0.046528943640435055,0.019134008761432935,2.2155065151581756,0.44092057583124167,0.021938540704143358,0.010084046298836141,0.0661326427012682,0.01235696613301203,0.057690190896391866,0.009518013351413604,0.28485480025410653,0.060109002898829915,0.6041425206996448,200000,0.2280678147452145,939.1647529602051,,
heldout,8,0.0025910523514488517,0.0024031958357482322,0.5437293673684217,0.32757663902363754,,,,,,,,,,,,,0.6041425206996448,200000,0.2280678147452145,939.1647529602051,2.0128553828612277,0.22446875830048366
