group,n_eval,trace_cov_mean,trace_cov_std,mean_err_post_mean,mean_err_post_std,mean_err_train_point_mean,mean_err_train_point_std,dist_to_nearest_other_mean,dist_to_nearest_other_std,ratio_own_vs_other_mean,ratio_own_vs_other_std,vel_rel_err_mean_mean,vel_rel_err_mean_std,vel_rel_err_median_mean,vel_rel_err_median_std,vel_abs_err_mean_mean,vel_abs_err_mean_std,trace_cov_kernel_mean,trace_cov_kernel_std,n_eff_mean,n_eff_std,ratio_to_kernel_mean,ratio_to_kernel_std,mean_err_kernel_mean,mean_err_kernel_std,trace_post,iter,train_loss,elapsed_s,dist_to_nearest_train_mean,dist_to_nearest_train_std
train,20,1.0899016395313317,0.03953965036085306,0.06250056681449422,0.0412212906721692,0.8351845652392582,0.5111956974941309,0.06578900251147377,0.037284033846905984,21.02698829971884,22.97255804264732,0.7816391617059708,0.1273578858877399,0.780664074420929,0.1452607297979779,1.3234451532363891,0.3064386646843293,0.0,0.0,1.0,0.0,,,0.8351845652392582,0.5111956974941309,1.014581102997699,100,3.316917583433895,23.302992582321167,,
heldout,8,1.095282239775719,0.040966143843823695,0.13785175811943506,0.06528644769390099,,,,,,,,,,,,,,,,,,,,,1.014581102997699,100,3.316917583433895,23.302997589111328,0.05423122343669399,0.03068082943317331
train,20,1.0141733475556807,0.03997468835851129,0.1291156316391726,0.01000751218759175,0.8344543067849057,0.5214081812297097,0.06537721460709464,0.03219194576445389,16.410361060311168,13.280632336557977,0.7788104623556137,0.17927029487893698,0.7451500877737999,0.17632860780595755,1.2681398808956146,0.33623435469666657,0.0,0.0,1.0,0.0,,,0.8344543067849057,0.5214081812297097,1.014581102997699,300,2.415608350344945,45.68710803985596,,
heldout,8,1.013472031291338,0.039870412933659165,0.12152599107420708,0.01968446089819474,,,,,,,,,,,,,,,,,,,,,1.014581102997699,300,2.415608350344945,45.687111377716064,0.05274740238473455,0.038040157080814416
train,20,0.9018669326270358,0.05679172171656718,0.0533734662181245,0.022737182514005194,0.8345637201314448,0.5228967789789342,0.06066199690273331,0.03384672277471843,19.753903261277742,19.314399951060626,0.7277916580438614,0.2249824213341262,0.6225187242031097,0.1885480612376732,1.1173909038305283,0.3686800219867833,0.0,0.0,1.0,0.0,,,0.8345637201314448,0.5228967789789342,1.014581102997699,1000,1.7775260879229227,72.4243893623352,,
heldout,8,0.8501826957373002,0.07114236174966164,0.08879267327585817,0.028237358672255596,,,,,,,,,,,,,,,,,,,,,1.014581102997699,1000,1.7775260879229227,72.42439293861389,0.06200719175715403,0.07059740300837893
train,20,0.9820429402964435,0.057606903610477954,0.11594703286951347,0.04089643030978719,0.783219487154387,0.5208045856036108,0.06476137405864382,0.043695506625962346,24.327976858485442,32.148952175675085,0.7309996590018273,0.22472018816803974,0.6121724456548691,0.1881569373419494,1.109245502948761,0.36295361827415673,0.0,0.0,1.0,0.0,,,0.783219487154387,0.5208045856036108,1.014581102997699,3000,1.7484929882450453,107.3579592704773,,
heldout,8,0.9112952856143263,0.04747584995211202,0.08751499026036341,0.029902934252096933,,,,,,,,,,,,,,,,,,,,,1.014581102997699,3000,1.7484929882450453,107.35796236991882,0.07633339439349941,0.048266711422043015
train,20,0.9514238314356307,0.12368163732709998,0.0735382395127564,0.027438528626721463,0.810701010073221,0.5137426696901427,0.06945523064718354,0.029114096694270494,16.32495417463984,23.602038806381078,0.7396877124905586,0.22543641574885678,0.6192860960960388,0.18651685400677653,1.130735844373703,0.3732010592721877,0.0,0.0,1.0,0.0,,,0.810701010073221,0.5137426696901427,1.014581102997699,10000,1.758289785692712,178.5330104827881,,
heldout,8,0.984016781040346,0.06935212503113941,0.038298752218639896,0.02381727052127085,,,,,,,,,,,,,,,,,,,,,1.014581102997699,10000,1.758289785692712,178.53301405906677,0.08109695374734566,0.02322822763618757
train,20,1.0232960757460299,0.10073257475816913,0.05536040890779538,0.07490058330130887,0.8525161305212794,0.5052301006175838,0.05489756321160649,0.028404386246433246,22.577939715606636,24.774407632108517,0.7241034045815468,0.21037858067107498,0.6131873726844788,0.16954920276738267,1.113808673620224,0.3417245135475762,0.0,0.0,1.0,0.0,,,0.8525161305212794,0.5052301006175838,1.014581102997699,30000,1.7234393124851026,338.89090371131897,,
heldout,8,0.9677807222011812,0.10229447922140153,0.15336371597656584,0.1788715128482267,,,,,,,,,,,,,,,,,,,,,1.014581102997699,30000,1.7234393124851026,338.89090728759766,0.08371782879054165,0.04905258089366311
train,20,1.041711790133671,0.19562848441942274,0.13279236392952512,0.12582059195592477,0.8043794009126849,0.5037538794501142,0.05681624776032387,0.037755268602631176,30.005588809668307,50.11282349933734,0.6941321805119515,0.2045439056808239,0.5808237798511982,0.17612789053704003,1.0712552875280381,0.3478933843856899,0.0,0.0,1.0,0.0,,,0.8043794009126849,0.5037538794501142,1.014581102997699,100000,1.662492110647961,849.2456786632538,,
heldout,8,1.1288261257797028,0.23667513237835577,0.1919238129186831,0.14956078602302042,,,,,,,,,,,,,,,,,,,,,1.014581102997699,100000,1.662492110647961,849.2456820011139,0.0718792028967184,0.05359834114421342
train,20,0.9648059005535435,0.20076520910383347,0.20031746527959265,0.13445293314577078,0.8242269134423432,0.4819868653063128,0.06830934383082912,0.03637241393274656,16.83482627272446,14.882456468940898,0.6705752864480019,0.20164658742156774,0.5553261198103427,0.1823005831497551,1.0083683207631111,0.33380759231560914,0.0,0.0,1.0,0.0,,,0.8242269134423432,0.4819868653063128,1.014581102997699,200000,1.5808897340779027,1563.2622470855713,,
heldout,8,1.1411181273377813,0.27421929889963964,0.16305876895357166,0.18041298742434972,,,,,,,,,,,,,,,,,,,,,1.014581102997699,200000,1.5808897340779027,1563.2622509002686,0.08476092989197478,0.0646726684462112
