group,n_eval,trace_cov_mean,trace_cov_std,mean_err_post_mean,mean_err_post_std,mean_err_train_point_mean,mean_err_train_point_std,dist_to_nearest_other_mean,dist_to_nearest_other_std,ratio_own_vs_other_mean,ratio_own_vs_other_std,vel_rel_err_mean_mean,vel_rel_err_mean_std,vel_rel_err_median_mean,vel_rel_err_median_std,vel_abs_err_mean_mean,vel_abs_err_mean_std,trace_cov_kernel_mean,trace_cov_kernel_std,n_eff_mean,n_eff_std,ratio_to_kernel_mean,ratio_to_kernel_std,mean_err_kernel_mean,mean_err_kernel_std,trace_post,iter,train_loss,elapsed_s,dist_to_nearest_train_mean,dist_to_nearest_train_std
train,20,2.9648459382778483,0.05777524425236562,1.344248741839829,0.5172602375986393,1.3792689525523274,0.5062731418515729,1.8833849203014232,0.3351099236257546,0.7679882220643164,0.3584796071576924,0.5755998969078064,0.0667363588521976,0.5763044461607933,0.07531008174078074,2.498026502132416,0.2789321105585511,0.0,0.0,1.0,0.0,,,1.3792689525523274,0.5062731418515729,0.1839512952627433,100,14.476704361054551,25.974581956863403,,
heldout,8,3.0419755359026315,0.0985320566016114,1.4961792644189438,0.4580754182615039,,,,,,,,,,,,,,,,,,,,,0.1839512952627433,100,14.476704361054551,25.974586486816406,2.0146278921399743,0.4966832458691055
train,20,1.208828678392797,0.05400783266114926,0.7828359768757521,0.4745456148979133,0.8706179282424508,0.42822198220856306,1.961921938599725,0.41044678845578475,0.46802609948745,0.26484866359162446,0.37083244770765306,0.06121684054762615,0.34879647865891455,0.068519062989266,1.5967772841453551,0.24654845239237147,0.0,0.0,1.0,0.0,,,0.8706179282424508,0.42822198220856306,0.1839512952627433,300,5.756791264074893,49.16319561004639,,
heldout,8,1.2138225243384266,0.06269639391627042,0.6287231180713309,0.29999875792450353,,,,,,,,,,,,,,,,,,,,,0.1839512952627433,300,5.756791264074893,49.16319918632507,2.2054834310401854,0.6778914415825644
train,20,0.18159609235675328,0.018792475638014467,0.23755846295243863,0.11175738652175159,0.288400423342525,0.08630333547523236,2.098196412739626,0.4589007786969163,0.14417223118210926,0.052630625631812054,0.22848005965352058,0.03280101025304852,0.18387547358870507,0.02925463563806742,0.9664486408233642,0.0959803846305168,0.0,0.0,1.0,0.0,,,0.288400423342525,0.08630333547523236,0.1839512952627433,1000,2.0863557693314156,72.08403253555298,,
heldout,8,0.18612945145120555,0.021510961257805578,0.2789897910994596,0.13061653336397325,,,,,,,,,,,,,,,,,,,,,0.1839512952627433,1000,2.0863557693314156,72.08403635025024,2.170726797125824,0.7665326897143526
train,20,0.12847045646088012,0.02142352688626539,0.27992125607592405,0.12822683454293923,0.25337989088647805,0.10031567823356928,2.144865970710522,0.4656468505804788,0.12396591353689417,0.05307514608559262,0.1874856971204281,0.03889967010331387,0.13703441247344017,0.03415708438594889,0.7904519289731979,0.13889853758004392,0.0,0.0,1.0,0.0,,,0.25337989088647805,0.10031567823356928,0.1839512952627433,3000,1.4865854905870703,101.07355093955994,,
heldout,8,0.123052596242166,0.01465901668836931,0.27621613281142865,0.12477250132261575,,,,,,,,,,,,,,,,,,,,,0.1839512952627433,3000,1.4865854905870703,101.07355380058289,2.1737102412518343,0.7356803102404103
train,20,0.02618014002746984,0.01238802310972859,0.29980251271384756,0.1721600147282843,0.11310876758675259,0.041487094954916155,2.1166103767329156,0.445285646348177,0.05777539641941883,0.028623799931101576,0.11176411546766758,0.0185387661892155,0.08743066005408764,0.012005094206957624,0.4761339247226715,0.07405729756942381,0.0,0.0,1.0,0.0,,,0.11310876758675259,0.041487094954916155,0.1839512952627433,10000,0.7198562343112027,153.1507511138916,,
heldout,8,0.024056255676027496,0.009018897005958598,0.5908339904432525,0.28754044057526584,,,,,,,,,,,,,,,,,,,,,0.1839512952627433,10000,0.7198562343112027,153.15075397491455,2.142849983124621,0.7069108693990133
train,20,0.0052100024474267745,0.0014328364430456638,0.337235232712612,0.15270529976774053,0.06698513355061637,0.022710694465078254,2.1380812687177655,0.458936192987038,0.03135751370990693,0.008819071847664763,0.07674180027097463,0.011842220820245898,0.06264617908746004,0.006854148978434984,0.3314911052584648,0.06784873223600946,0.0,0.0,1.0,0.0,,,0.06698513355061637,0.022710694465078254,0.1839512952627433,30000,0.3856425240454582,277.69859743118286,,
heldout,8,0.006538912184901606,0.002499692772535089,0.47271689250938154,0.25100062138165874,,,,,,,,,,,,,,,,,,,,,0.1839512952627433,30000,0.3856425240454582,277.6986005306244,2.173098982819016,0.7334120092359094
train,20,0.0024562682443256085,0.0005440850804087382,0.32110470834919685,0.13823809655751015,0.0527722986127961,0.01681165374702791,2.1260553990830346,0.4496939041166075,0.02580863525902789,0.009166699859265548,0.06416856851428747,0.009176732078770858,0.05499243400990963,0.007084732133319374,0.27736780866980554,0.052929521924254486,0.0,0.0,1.0,0.0,,,0.0527722986127961,0.01681165374702791,0.1839512952627433,100000,0.27672654404824754,652.3125514984131,,
heldout,8,0.003276846260523473,0.0024355004645500843,0.302078033016286,0.16526477889415833,,,,,,,,,,,,,,,,,,,,,0.1839512952627433,100000,0.27672654404824754,652.3125545978546,2.1704511346760977,0.7675026841954864
train,20,0.0017995138187086798,0.00044631398826076505,0.3281206547146649,0.1530274612014661,0.03607305260164777,0.013226863908765037,2.1198349764584057,0.45158242658126185,0.017864707785135922,0.008164199405590931,0.05190702322870493,0.007031428012865885,0.04613838214427233,0.005591833491359406,0.22385230138897896,0.02920286737721359,0.0,0.0,1.0,0.0,,,0.03607305260164777,0.013226863908765037,0.1839512952627433,200000,0.22954449570079413,1113.4709463119507,,
heldout,8,0.0022151583820462974,0.0014800891294791392,0.30360410950375494,0.14727821562539697,,,,,,,,,,,,,,,,,,,,,0.1839512952627433,200000,0.22954449570079413,1113.4709491729736,2.195416772592541,0.7670367245578636
