group,n_eval,trace_cov_mean,trace_cov_std,mean_err_post_mean,mean_err_post_std,mean_err_train_point_mean,mean_err_train_point_std,dist_to_nearest_other_mean,dist_to_nearest_other_std,ratio_own_vs_other_mean,ratio_own_vs_other_std,vel_rel_err_mean_mean,vel_rel_err_mean_std,vel_rel_err_median_mean,vel_rel_err_median_std,vel_abs_err_mean_mean,vel_abs_err_mean_std,trace_cov_kernel_mean,trace_cov_kernel_std,n_eff_mean,n_eff_std,ratio_to_kernel_mean,ratio_to_kernel_std,mean_err_kernel_mean,mean_err_kernel_std,memorization_ratio_mean,memorization_ratio_std,trace_post,iter,train_loss,elapsed_s,dist_to_nearest_train_mean,dist_to_nearest_train_std
train,20,1.0870007747742065,0.05290070403175658,0.16930556933212348,0.048947759921668305,0.866091485596925,0.5482715966939319,0.14304567465351947,0.055384945498540415,8.250670085230151,9.54032518989866,0.8094847738742829,0.12067171604909677,0.8137475311756134,0.11679014745216874,1.3356800258159638,0.3678561462900398,0.0,0.0,1.0,0.0,,,0.866091485596925,0.5482715966939319,0.11955,0.013818375447207968,1.0467556993875196,100,3.138053421066641,110.46590900421143,,
heldout,8,1.1305922128167647,0.03834565286783931,0.16340526690293872,0.04158438099475992,,,,,,,,,,,,,,,,,,,,,0.116375,0.011112352361223973,1.0467556993875196,100,3.138053421066641,110.46590900421143,0.10517969944368091,0.04585964165335435
train,20,1.3289631254723648,0.11291960237495897,0.2448875931482323,0.1502861612336288,0.7839478507306114,0.566685809138949,0.13363540393992285,0.04050954390599919,6.470791977965807,5.097324389907902,0.7971769630908966,0.19786989052047263,0.7152036219835282,0.1648885141523133,1.2235791742801667,0.3667948933021016,0.0,0.0,1.0,0.0,,,0.7839478507306114,0.566685809138949,0.11810000000000001,0.012348684140425654,1.0467556993875196,300,2.508113007941313,206.03186988830566,,
heldout,8,1.2828797114416504,0.1279897559442284,0.19138285145749478,0.12624205936553257,,,,,,,,,,,,,,,,,,,,,0.11337499999999999,0.007548799573442123,1.0467556993875196,300,2.508113007941313,206.03186988830566,0.12449750258931866,0.0426545740723024
train,20,0.8830887679275774,0.053442878510442125,0.26126614473417503,0.06740657891611351,0.8427518412232169,0.5720723345428989,0.11887044930755915,0.064845527444767,15.959208350966506,26.63159063872412,0.8029818296432495,0.17561442905112584,0.6793812319636345,0.15280714329882292,1.179282784461975,0.4094234261213323,0.0,0.0,1.0,0.0,,,0.8427518412232169,0.5720723345428989,0.1142,0.014009282636880447,1.0467556993875196,1000,1.9762844339549062,268.9288308620453,,
heldout,8,0.9111245371939443,0.04959227451031378,0.23468651996717382,0.041921273494400724,,,,,,,,,,,,,,,,,,,,,0.120625,0.014159250509825722,1.0467556993875196,1000,1.9762844339549062,268.9288308620453,0.11031147950304197,0.05326072342542952
train,20,1.1058395208704972,0.05093338159713854,0.19043356444714632,0.13515130221417188,0.8154612910408037,0.5893781905595057,0.11880485800314997,0.04609296072062538,8.211464186312133,7.002145806486762,0.8065113544464111,0.19888512469478822,0.662084524333477,0.1717861939502301,1.1505587995052338,0.37387376879541034,0.0,0.0,1.0,0.0,,,0.8154612910408037,0.5893781905595057,0.11784999999999998,0.014283819517201972,1.0467556993875196,3000,1.9377831549869782,364.5614995956421,,
heldout,8,1.1055934016369404,0.04855851870537053,0.16918365340336983,0.08034961896490192,,,,,,,,,,,,,,,,,,,,,0.119375,0.011999348940671738,1.0467556993875196,3000,1.9377831549869782,364.5614995956421,0.13193468486329413,0.0368423704821102
train,20,0.9979970303361153,0.15587781270512108,0.24137084595407635,0.10044265534951878,0.8192516434538948,0.6148886388171994,0.10534000036101562,0.05628697689183823,12.6290472571446,15.583816696121984,0.8231994912028313,0.29512303735428747,0.6425378695130348,0.15300965435966388,1.1422489702701568,0.40153144704989197,0.0,0.0,1.0,0.0,,,0.8192516434538948,0.6148886388171994,0.12255000000000002,0.01240755818039956,1.0467556993875196,10000,1.8386774045638068,489.0623836517334,,
heldout,8,1.0077099634876703,0.18412281204344458,0.21369146269270023,0.14606949340532935,,,,,,,,,,,,,,,,,,,,,0.1215,0.014106735979665887,1.0467556993875196,10000,1.8386774045638068,489.0623836517334,0.09107213102977291,0.030405437731605235
