group,n_eval,trace_cov_mean,trace_cov_std,mean_err_post_mean,mean_err_post_std,mean_err_train_point_mean,mean_err_train_point_std,dist_to_nearest_other_mean,dist_to_nearest_other_std,ratio_own_vs_other_mean,ratio_own_vs_other_std,vel_rel_err_mean_mean,vel_rel_err_mean_std,vel_rel_err_median_mean,vel_rel_err_median_std,vel_abs_err_mean_mean,vel_abs_err_mean_std,trace_cov_kernel_mean,trace_cov_kernel_std,n_eff_mean,n_eff_std,ratio_to_kernel_mean,ratio_to_kernel_std,mean_err_kernel_mean,mean_err_kernel_std,memorization_ratio_mean,memorization_ratio_std,trace_post,iter,train_loss,lr,elapsed_s,dist_to_nearest_train_mean,dist_to_nearest_train_std
train,20,1.0388771033403683,0.037703732967811134,0.18078503616696176,0.06953665915157466,0.7942958110776248,0.5465539047955101,0.1943846051357319,0.08009793321378403,4.790025968577507,4.27259262794623,0.832088515162468,0.13724610379844082,0.7951241612434388,0.10916985891722496,1.267822265625,0.2860577527349687,0.0,0.0,1.0,0.0,,,0.7942958110776248,0.5465539047955101,0.11144999999999998,0.0173507204461371,1.014581102997699,100,2.950728804585906,0.001,4.323240041732788,,
heldout,8,1.0387294204984134,0.03741515707578271,0.2784117044077724,0.06692865109865868,,,,,,,,,,,,,,,,,,,,,0.113625,0.025855064784293235,1.014581102997699,100,2.950728804585906,0.001,4.3232421875,0.3813124251425266,0.2776258849781994
train,20,0.9636291887991046,0.17934146522494335,0.07534252725165831,0.03540185940745154,0.8122399131798742,0.5542726064540826,0.2338429861855474,0.09167761389599018,4.9330423409004815,6.8514877651517025,0.7709364414215087,0.15931617858625735,0.6581418618559838,0.15022123682327612,1.1157817393541336,0.3238239317406078,0.0,0.0,1.0,0.0,,,0.8122399131798742,0.5542726064540826,0.11789999999999998,0.025418300493935467,1.014581102997699,300,2.1277290268529545,0.001,8.767498970031738,,
heldout,8,1.2909943129876922,0.3778273052775023,0.1927993540254686,0.193155785080995,,,,,,,,,,,,,,,,,,,,,0.12637500000000002,0.060619587387246376,1.014581102997699,300,2.1277290268529545,0.001,8.767500877380371,0.3595548673288659,0.1990262651647985
train,20,0.7764916297644411,0.05636742804715128,0.24238156447947468,0.21245148268386133,0.7399355455988756,0.5734947923712972,0.1918228213009965,0.09707082172396347,7.791970961860341,16.43221374099048,0.7530716806650162,0.21280687164983467,0.6115228772163391,0.18772079944134862,1.0485739767551423,0.37006619962225135,0.0,0.0,1.0,0.0,,,0.7399355455988756,0.5734947923712972,0.12465,0.03336955948165934,1.014581102997699,1000,1.5983504171078293,0.001,15.451171159744263,,
heldout,8,0.5967911333990092,0.29754220143098437,0.9628087282600395,1.181689225109533,,,,,,,,,,,,,,,,,,,,,0.191875,0.2025749475502832,1.014581102997699,1000,1.5983504171078293,0.001,15.451173543930054,0.46650548524547447,0.6467626597054271
train,20,0.7929788734976727,0.2748904638597674,0.27763729975108475,0.1795992216550284,0.7547691466769795,0.5978754782632484,0.16542228612380078,0.08514452788960573,6.556356244723884,6.240170566080829,0.7259273394942284,0.18867728560534566,0.5952164903283119,0.1871231336343352,1.021560373902321,0.3584076320894265,0.0,0.0,1.0,0.0,,,0.7547691466769795,0.5978754782632484,0.13900000000000004,0.036648328747706904,1.014581102997699,3000,1.4568669757158645,0.001,28.055208921432495,,
heldout,8,0.5324148625095613,0.3684223219040318,0.8927107126533431,1.273439525486624,,,,,,,,,,,,,,,,,,,,,0.2455,0.2915510246937918,1.014581102997699,3000,1.4568669757158645,0.001,28.055211067199707,0.4984651856244073,0.6804371963217757
train,20,0.4156879960138484,0.47239098628143733,0.5503387311714856,0.402789670785136,0.37557829685448496,0.3392508804153985,0.21104534951422776,0.10383702043535849,2.6750830564270776,3.3632040948768935,0.4357691273093224,0.1852122146119511,0.3198761731386185,0.14250973270263942,0.5578545019030571,0.21465364749494859,0.0,0.0,1.0,0.0,,,0.37557829685448496,0.3392508804153985,0.45045,0.24094967835629083,1.014581102997699,10000,0.6693030775928182,0.001,62.86747145652771,,
heldout,8,0.2869875328788145,0.5392357247330842,1.1890755354845002,0.8632729380103779,,,,,,,,,,,,,,,,,,,,,0.283625,0.2990890074459441,1.014581102997699,10000,0.6693030775928182,0.001,62.867473125457764,0.3431781574732884,0.42907943708705787
