group,n_eval,trace_cov_mean,trace_cov_std,mean_err_post_mean,mean_err_post_std,mean_err_train_point_mean,mean_err_train_point_std,dist_to_nearest_other_mean,dist_to_nearest_other_std,ratio_own_vs_other_mean,ratio_own_vs_other_std,vel_rel_err_mean_mean,vel_rel_err_mean_std,vel_rel_err_median_mean,vel_rel_err_median_std,vel_abs_err_mean_mean,vel_abs_err_mean_std,trace_cov_kernel_mean,trace_cov_kernel_std,n_eff_mean,n_eff_std,ratio_to_kernel_mean,ratio_to_kernel_std,mean_err_kernel_mean,mean_err_kernel_std,memorization_ratio_mean,memorization_ratio_std,trace_post,iter,train_loss,lr,elapsed_s,dist_to_nearest_train_mean,dist_to_nearest_train_std
train,20,1.0916078519977022,0.03543140005752863,0.13063674662911443,0.05432308854094002,1.0534730988550298,0.8375843464020495,0.1436821163721162,0.09214677001194362,10.76926973993921,10.13964964364716,0.7884269773960113,0.08746660259733077,0.8213875591754913,0.10883454598602028,1.4690719991922379,0.594776780628208,0.0,0.0,1.0,0.0,,,1.0534730988550298,0.8375843464020495,0.10670000000000002,0.016015929570274715,1.0040473220529973,100,3.296000820227731,0.001,31.25365924835205,,
heldout,8,1.1176132998814723,0.038829328709021595,0.08488242428961032,0.047823301808792885,,,,,,,,,,,,,,,,,,,,,0.110875,0.021601142909577726,1.0040473220529973,100,3.296000820227731,0.001,31.253663539886475,0.1812579816970627,0.19431118161293304
train,20,1.246089547653051,0.07337608678084465,0.11640927433803591,0.03467175896971181,1.0549389509095595,0.8378288135326681,0.13890185372642458,0.10846631141889326,12.092175509806038,13.102359165179122,0.7434566557407379,0.13168953501540848,0.6580399543046951,0.12091505389787606,1.2637524962425233,0.5258022449922065,0.0,0.0,1.0,0.0,,,1.0549389509095595,0.8378288135326681,0.10995000000000002,0.02269465796173187,1.0040473220529973,300,2.2948783520867297,0.001,67.76297307014465,,
heldout,8,1.2569110895035824,0.07101542713628729,0.14532396923693114,0.05509085782127375,,,,,,,,,,,,,,,,,,,,,0.10300000000000001,0.04160528812542944,1.0040473220529973,300,2.2948783520867297,0.001,67.76297640800476,0.18326318307049605,0.22908069973380862
train,20,1.0521480369477438,0.10550194565810422,0.05597397778798737,0.04133609211786807,1.058536193657118,0.851733127544965,0.16507103830316733,0.10845185378814473,9.30525969446461,8.625925649897697,0.725395978987217,0.15935163444131367,0.6274417862296104,0.1436205849088731,1.2140600740909577,0.5353127313910414,0.0,0.0,1.0,0.0,,,1.058536193657118,0.851733127544965,0.10815,0.027691650366130218,1.0040473220529973,1000,1.80938437800388,0.001,112.0758786201477,,
heldout,8,1.1142261550655408,0.1614646595844757,0.04084992858453648,0.01574956902740652,,,,,,,,,,,,,,,,,,,,,0.116,0.053814496188294834,1.0040473220529973,1000,1.80938437800388,0.001,112.07588243484497,0.18133506770443003,0.24739760518377865
train,20,1.1251027427718596,0.36321495897466194,0.045823228746837294,0.03452259315036298,1.0460181141858782,0.833569758475073,0.15855886076911752,0.11247673816189917,11.035372534433623,12.722292918648957,0.7080377385020256,0.1605527878770005,0.6163967415690422,0.1443491007261237,1.1868118464946746,0.4862513157558076,0.0,0.0,1.0,0.0,,,1.0460181141858782,0.833569758475073,0.11259999999999999,0.020157876872329585,1.0040473220529973,3000,1.7793869699318277,0.001,165.45274019241333,,
heldout,8,1.1559261351429244,0.3324631499677784,0.0540180666596233,0.03954320305119328,,,,,,,,,,,,,,,,,,,,,0.1145,0.04727314248069405,1.0040473220529973,3000,1.7793869699318277,0.001,165.45274376869202,0.1700091402821316,0.25720058972205817
train,20,1.139158616866661,0.41636466726990373,0.23111663765383866,0.2770391398274445,0.9901452500288199,0.8005877282748988,0.11635612701564198,0.07518010846351088,13.579274502291067,15.434972259871909,0.6953026250004768,0.15457002048540822,0.5888792842626571,0.1479293732688433,1.1356385499238968,0.4229608162701399,0.0,0.0,1.0,0.0,,,0.9901452500288199,0.8005877282748988,0.12334999999999999,0.031429723193181325,1.0040473220529973,10000,1.712052011315839,0.001,261.7721817493439,,
heldout,8,1.1240283571170164,0.3145753224637627,0.10685066790586989,0.104621192248266,,,,,,,,,,,,,,,,,,,,,0.111875,0.04393585523237257,1.0040473220529973,10000,1.712052011315839,0.001,261.77218532562256,0.1655957398528162,0.19703676206879336
