group,n_eval,trace_cov_mean,trace_cov_std,mean_err_post_mean,mean_err_post_std,mean_err_train_point_mean,mean_err_train_point_std,dist_to_nearest_other_mean,dist_to_nearest_other_std,ratio_own_vs_other_mean,ratio_own_vs_other_std,vel_rel_err_mean_mean,vel_rel_err_mean_std,vel_rel_err_median_mean,vel_rel_err_median_std,vel_abs_err_mean_mean,vel_abs_err_mean_std,trace_cov_kernel_mean,trace_cov_kernel_std,n_eff_mean,n_eff_std,ratio_to_kernel_mean,ratio_to_kernel_std,mean_err_kernel_mean,mean_err_kernel_std,memorization_ratio_mean,memorization_ratio_std,trace_post,iter,train_loss,lr,elapsed_s,dist_to_nearest_train_mean,dist_to_nearest_train_std
train,20,1.019626526659184,0.03853959147830655,0.19838307033678315,0.04695585011806935,0.8986339218325871,0.7094220531929224,0.1112158791761231,0.09769269930828364,21.378108819612287,40.564385723628774,0.7776334404945373,0.15966164850475334,0.7671971321105957,0.17036755212020765,1.3874795943498612,0.4821158695955586,0.0,0.0,1.0,0.0,,,0.8986339218325871,0.7094220531929224,0.11155000000000001,0.019747088392975815,1.019281376574483,100,2.9748476006080846,0.001,48.36663103103638,,
heldout,8,1.0350734313915242,0.027336382173930477,0.1776966907340892,0.020692834355480437,,,,,,,,,,,,,,,,,,,,,0.10800000000000001,0.022416511771459896,1.019281376574483,100,2.9748476006080846,0.001,48.36663484573364,0.13624222299932293,0.05491438033535583
train,20,0.6044616081430992,0.05988533951285482,0.10071815372280968,0.03178902101140557,0.8841597138445769,0.7320396369276204,0.10692650164586621,0.12262929369327473,17.647557172140374,17.764356602332228,0.7573551997542382,0.2258044494885685,0.6805288031697273,0.21792071188744014,1.2713550716638564,0.5759106089959354,0.0,0.0,1.0,0.0,,,0.8841597138445769,0.7320396369276204,0.11555,0.02844727579224415,1.019281376574483,300,2.199243420431015,0.001,98.22081351280212,,
heldout,8,0.5409470247435219,0.042044683286689255,0.10690658731947984,0.022610049584287716,,,,,,,,,,,,,,,,,,,,,0.10325,0.01655860803328589,1.019281376574483,300,2.199243420431015,0.001,98.22082042694092,0.1276770006405863,0.07459556613425174
train,20,1.0257863185299028,0.24237379552533014,0.19411515913308527,0.05443447694698862,0.8755353231391707,0.7130039594699548,0.13708690810056928,0.12877101699925345,15.063880630558364,19.85996183432089,0.756847907602787,0.22359299642600272,0.6264177352190018,0.19645948861504473,1.1873397678136826,0.44663724945075867,0.0,0.0,1.0,0.0,,,0.8755353231391707,0.7130039594699548,0.1099,0.024997799903191485,1.019281376574483,1000,1.6924732037130732,0.001,151.8451108932495,,
heldout,8,0.7771814174842946,0.30605129017835137,0.15598580924662495,0.06149517630575303,,,,,,,,,,,,,,,,,,,,,0.10825000000000001,0.023031228799176132,1.019281376574483,1000,1.6924732037130732,0.001,151.84511494636536,0.1542276303252516,0.11073818623244212
train,20,0.8070134430997227,0.24274503637569925,0.20535990761352402,0.08894351300564794,0.901691041213874,0.6751396115088107,0.14408502351127184,0.10791078932355808,13.187307141687663,15.586786387949951,0.753964276611805,0.23498940678153257,0.6230991229414939,0.2056908453327486,1.1751209259033204,0.46614017649468054,0.0,0.0,1.0,0.0,,,0.901691041213874,0.6751396115088107,0.12409999999999999,0.03230154795052398,1.019281376574483,3000,1.6605651137651933,0.001,216.66136360168457,,
heldout,8,0.6235649455274994,0.3411747602406758,0.21996714207548068,0.2088718530787423,,,,,,,,,,,,,,,,,,,,,0.098,0.03643487340447336,1.019281376574483,3000,1.6605651137651933,0.001,216.66136693954468,0.18453769700122566,0.1800228857083898
train,20,0.8023587229861302,0.2921258356596201,0.24054815764223117,0.09585481109637517,0.8670721353849162,0.6716926981535863,0.14279328313629794,0.12540507594463232,12.100221981721708,13.132461509886424,0.7284695044159889,0.24843088459855497,0.6008988440036773,0.2153134210502928,1.1297683715820312,0.46307064521942326,0.0,0.0,1.0,0.0,,,0.8670721353849162,0.6716926981535863,0.1436,0.06006113552040121,1.019281376574483,10000,1.5732234377612986,0.001,321.759229183197,,
heldout,8,0.6100658042636486,0.36242935865230647,0.31440810870229163,0.29988081982596404,,,,,,,,,,,,,,,,,,,,,0.104375,0.04140331357512343,1.019281376574483,10000,1.5732234377612986,0.001,321.7592360973358,0.2659898760276833,0.3829442854990067
train,20,0.879024463242235,0.5310441585588328,0.31960296155750995,0.13799534671201208,0.7965919035796747,0.6207883195717712,0.1493920998970267,0.1299511071828423,11.149067479297255,14.316611502125458,0.6492181159555912,0.2516172926589847,0.5212025478482246,0.20983071620656404,0.9679363086819649,0.3523187934349929,0.0,0.0,1.0,0.0,,,0.7965919035796747,0.6207883195717712,0.2780499999999999,0.21384093971922216,1.019281376574483,30000,1.3366939317819058,0.001,526.5539236068726,,
heldout,8,0.43708640262077725,0.40858455093052193,0.4977152498600502,0.45843545886737247,,,,,,,,,,,,,,,,,,,,,0.196,0.14118339137448144,1.019281376574483,30000,1.3366939317819058,0.001,526.5539269447327,0.29647039763457284,0.5165456133899891
train,20,0.5478424657257983,0.5327311383615326,0.42500466173940976,0.3835398626632225,0.6118267985202316,0.5415711048439563,0.13250698531529104,0.15581316877740142,29.457025875573958,73.21624102312884,0.4919887103140354,0.24599237931100792,0.4031181175261736,0.2116561108081256,0.7351655572652817,0.36915262423250816,0.0,0.0,1.0,0.0,,,0.6118267985202316,0.5415711048439563,0.5242500000000001,0.20801992092105023,1.019281376574483,100000,0.8801137711029384,0.001,987.5377728939056,,
heldout,8,0.33297611350040346,0.4031273044067471,0.7299286530126521,0.6518020680383132,,,,,,,,,,,,,,,,,,,,,0.384625,0.27589034846293553,1.019281376574483,100000,0.8801137711029384,0.001,987.5377757549286,0.3976832639754057,0.8300329499747757
train,20,0.48163867211947864,0.6563600029703643,0.48977136819173567,0.4208818019924368,0.4782706217608822,0.5169833986241898,0.1365129749627404,0.14174761919335296,9.902556603927987,14.223363720437327,0.36106899864971637,0.2169890514412051,0.2836184184998274,0.19835894153723224,0.548869363218546,0.32250031407249563,0.0,0.0,1.0,0.0,,,0.4782706217608822,0.5169833986241898,0.66615,0.18150379472617095,1.019281376574483,200000,0.6430407413102265,0.001,1679.72283411026,,
heldout,8,481386058407918.56,1273627795160965.2,1016657.4400072173,2689821.26290445,,,,,,,,,,,,,,,,,,,,,0.32525,0.30139208267637024,1.019281376574483,200000,0.6430407413102265,0.001,1679.7228379249573,1016656.8504908605,2689820.8817476043
