group,n_eval,trace_cov_mean,trace_cov_std,mean_err_post_mean,mean_err_post_std,mean_err_train_point_mean,mean_err_train_point_std,dist_to_nearest_other_mean,dist_to_nearest_other_std,ratio_own_vs_other_mean,ratio_own_vs_other_std,vel_rel_err_mean_mean,vel_rel_err_mean_std,vel_rel_err_median_mean,vel_rel_err_median_std,vel_abs_err_mean_mean,vel_abs_err_mean_std,trace_cov_kernel_mean,trace_cov_kernel_std,n_eff_mean,n_eff_std,ratio_to_kernel_mean,ratio_to_kernel_std,mean_err_kernel_mean,mean_err_kernel_std,memorization_ratio_mean,memorization_ratio_std,trace_post,iter,train_loss,elapsed_s
train,20,1.814598315099777,0.06653383240640957,0.9828787078359055,0.6562381047357854,1.4979035323435517,0.6924888320324183,0.06247657042433911,0.020401040499356905,29.668592800398766,23.86533135883207,1.0038315892219543,0.03941213366457294,1.000669601559639,0.029693471700078994,1.9505955517292022,0.5077629999742602,0.0,0.0,1.0,0.0,,,1.4979035323435517,0.6924888320324183,0.11615000000000002,0.009835013980671303,1.0145811029976972,100,3.9000386437423806,6.553012371063232
train,20,2.6640822257478196,0.20704504807943983,1.0041812368258518,0.6515437109581876,1.4931025783220737,0.6507228566341492,0.10412255743997441,0.0443244250269271,17.497594200612387,12.978434845038262,1.0079740285873413,0.061537890954781786,0.9365565359592438,0.027814167904714075,1.728409367799759,0.3814032237595024,0.0,0.0,1.0,0.0,,,1.4931025783220737,0.6507228566341492,0.10735000000000001,0.011394187114489565,1.0145811029976972,300,3.4256435007528094,16.579858541488647
train,20,2.005381668131837,0.06396959472655188,0.932426275925715,0.6595687408090308,1.5023058530589934,0.6207690256391495,0.06346846627051858,0.013833674881980208,25.84520679642448,13.521152564754132,1.0203937262296676,0.06032028427571039,0.9289616197347641,0.0387613428309807,1.7360230445861817,0.4224054258591095,0.0,0.0,1.0,0.0,,,1.5023058530589934,0.6207690256391495,0.11474999999999999,0.012238770363071612,1.0145811029976972,1000,3.222788301616864,37.17272424697876
train,20,2.0893557951691433,0.09104618764960198,0.9712755356064982,0.6696493295804227,1.485213770429413,0.6340910310173631,0.07009307100335746,0.019865088049787583,24.424351349043782,15.229238519349392,1.0094947963953018,0.07099220421573872,0.914537513256073,0.043599242344551856,1.7026707351207733,0.3887247488986066,0.0,0.0,1.0,0.0,,,1.485213770429413,0.6340910310173631,0.1121,0.012597221915962265,1.0145811029976972,3000,3.175007742281866,63.348912715911865
train,20,1.648131027539091,0.5522900098233866,1.121852032872227,0.7794259387311847,1.2158595259918887,0.6519410750495331,0.1033111761417032,0.0483195705222157,15.32508443734891,10.08195940064432,0.8456597670912742,0.1648836947495625,0.7431865945458412,0.15097929611790212,1.3894825160503388,0.36631343955290496,0.0,0.0,1.0,0.0,,,1.2158595259918887,0.6519410750495331,0.12505,0.02628778233324371,1.0145811029976972,10000,2.6125718625235335,114.07755994796753
train,20,0.9921826959047472,0.6204856567531386,1.1913545098976523,0.9055866517257366,0.8939968224474649,0.7650664468789241,0.13147013917317105,0.062469588293647724,7.816193534507301,5.960767502359264,0.6051988758146762,0.2428380335080855,0.518648112565279,0.23451300236611738,0.9736369088292122,0.4725864057697589,0.0,0.0,1.0,0.0,,,0.8939968224474649,0.7650664468789241,0.24745,0.11354755611636914,1.0145811029976972,30000,1.772546989156199,228.21471548080444
train,20,0.61018674456674,0.5210729466916958,1.4247184536494015,0.8007159236094717,0.5341578378968118,0.5174851170065972,0.11616711281285567,0.059492777457365725,7.219014253423045,10.144363691003429,0.4388321291655302,0.2098856325761103,0.3541922472417355,0.17342564938841645,0.6744080893695354,0.3227033556009513,0.0,0.0,1.0,0.0,,,0.5341578378968118,0.5174851170065972,0.44175,0.17963181093559127,1.0145811029976972,100000,1.1195713347696867,604.0417010784149
train,20,0.5514045916947989,0.5290603326956507,1.5100945052611117,0.7972811697400898,0.5043158160278954,0.5032060791351765,0.13855636353250234,0.07956021230035537,6.279829433953274,8.987401398643637,0.3702056411653757,0.1769137590262763,0.29134241715073583,0.1570311501788036,0.5862906739115715,0.32020155326411937,0.0,0.0,1.0,0.0,,,0.5043158160278954,0.5032060791351765,0.5327,0.19066439101206076,1.0145811029976972,200000,0.8467593488422419,1173.217838525772
