group,n_eval,trace_cov_mean,trace_cov_std,mean_err_post_mean,mean_err_post_std,mean_err_train_point_mean,mean_err_train_point_std,dist_to_nearest_other_mean,dist_to_nearest_other_std,ratio_own_vs_other_mean,ratio_own_vs_other_std,vel_rel_err_mean_mean,vel_rel_err_mean_std,vel_rel_err_median_mean,vel_rel_err_median_std,vel_abs_err_mean_mean,vel_abs_err_mean_std,trace_post,iter,train_loss,elapsed_s,dist_to_nearest_train_mean,dist_to_nearest_train_std
train,20,1.0750044410835127,0.034198162090024554,0.1403054176584901,0.07047030137155248,0.6287128293882394,0.3512811880938435,0.09860194276528972,0.07962030120080327,8.617123682803093,5.660340483287334,0.7216725796461105,0.09016068364882027,0.7405763924121856,0.11697861709744041,1.1553758084774017,0.17754530271644203,1.003786499603634,100,2.948022720430173,14.656213521957397,,
heldout,8,1.0553687685010553,0.030920873779204525,0.12138380298791558,0.1110187042509085,,,,,,,,,,,,,1.003786499603634,100,2.948022720430173,14.656213521957397,0.14541781519233926,0.14418052487818017
train,20,1.0270131982073534,0.15361938670187011,0.145283994628304,0.11674911301271462,0.5649678829739199,0.36080517947261415,0.12923992980106197,0.11861610126982944,7.073069349471941,6.44421697510872,0.6568539395928383,0.1533538680096493,0.5631127029657363,0.14782448377408022,0.9433574110269547,0.17767529636150048,1.003786499603634,300,2.2026437969877035,28.566576957702637,,
heldout,8,0.9455579334068008,0.14350953490533583,0.12794697190840665,0.0801343348531883,,,,,,,,,,,,,1.003786499603634,300,2.2026437969877035,28.566576957702637,0.1659005261219017,0.2133464332201273
train,20,0.9789851945555972,0.1493122690421008,0.07127417306459372,0.05037614716964392,0.5921746894932596,0.34854330699415237,0.12680657271739565,0.09920453482965788,6.271977051481566,4.5569572428985525,0.6456622421741486,0.1786210429895559,0.5383057050406933,0.15094113502455145,0.9068602889776229,0.1846960181852158,1.003786499603634,1000,1.6855148300218445,43.64803695678711,,
heldout,8,0.8968621009880151,0.208546324546059,0.07271949986235182,0.07733346367069205,,,,,,,,,,,,,1.003786499603634,1000,1.6855148300218445,43.64803695678711,0.142511720646381,0.17497857517788096
train,20,1.0237221562911296,0.24354661994699392,0.13772139525775715,0.19436150646460715,0.5773946262121616,0.33214118994708236,0.14620322707009725,0.15258010618498977,9.245035136450412,15.403278866092872,0.65011767745018,0.18739539763884652,0.535642971098423,0.14755784970291194,0.9037162572145462,0.18215330634823865,1.003786499603634,3000,1.643794739477157,62.35500168800354,,
heldout,8,0.973739350613354,0.2897794334198292,0.17910937976185534,0.2618398915785059,,,,,,,,,,,,,1.003786499603634,3000,1.643794739477157,62.35500168800354,0.15889899293969822,0.22731991227426618
train,20,0.9107323337800197,0.40713026722724144,0.33304732533281123,0.2525067394828268,0.5125767988342927,0.3763508045746511,0.11685000770924206,0.10803156918280318,9.17912696103414,10.81359270107387,0.6290654473006725,0.23256689686526658,0.5167733330279589,0.22012157775494415,0.8455616384744644,0.2268684900283945,1.003786499603634,10000,1.5358381025795202,96.22736406326294,,
heldout,8,0.8045531637842498,0.39691304838440633,0.5645311487797527,0.7483573783446078,,,,,,,,,,,,,1.003786499603634,10000,1.5358381025795202,96.22736406326294,0.23515110483689797,0.4055080792241409
train,20,0.700704631489585,0.4952891400148252,0.29337220853931095,0.2334332630873482,0.4621135942559323,0.3536038687704751,0.12025773213450668,0.12682752990449012,6.796286177500846,5.9905050692898385,0.5906871162354946,0.22454651439225365,0.4537161186337471,0.1921697987091925,0.7770283088088036,0.2323293020163012,1.003786499603634,30000,1.233873810406532,171.28868055343628,,
heldout,8,0.7940612037369494,0.6628731318785984,0.7461784815251431,0.9141022088185933,,,,,,,,,,,,,1.003786499603634,30000,1.233873810406532,171.28868055343628,0.3343003841741216,0.6117849464692722
train,20,0.2903158039433967,0.23047471626381216,0.4212640218773635,0.3173211956718427,0.3952867879166743,0.30043560632300076,0.13533339382577692,0.1395166439944035,6.067069540732536,6.839487981127775,0.454819305986166,0.21521146087224405,0.34424618594348433,0.17665546083829875,0.5615789666771889,0.22030274925816878,1.003786499603634,100000,0.7439349580721653,423.04252433776855,,
heldout,8,0.5760983556255094,1.068480899666006,1.778946879001063,3.113005026835984,,,,,,,,,,,,,1.003786499603634,100000,0.7439349580721653,423.04252433776855,1.0743620732153099,2.5986772258379496
train,20,0.16179130126204058,0.18095863038191884,0.4473830271841587,0.3571192606323571,0.22345222450200733,0.20847261764064756,0.12835636383055485,0.13240029309651194,4.363293165446974,5.797125213975904,0.3426337346434593,0.16245086016095947,0.2504167351871729,0.136159095894311,0.42125782519578936,0.18296462026632238,1.003786499603634,200000,0.5515026056116368,806.937997341156,,
heldout,8,0.5636946720192102,1.1223757647183636,1.3299177763292047,2.2056359132513625,,,,,,,,,,,,,1.003786499603634,200000,0.5515026056116368,806.937997341156,0.7746479015233136,1.8261504190962825
