group,trace_cov_mean,trace_cov_std,trace_post,trace_data,n_eval,iter,train_loss,elapsed_s
uncond,2.0722725104601194,0.0,1.0145811029976972,2.0782872545233833,1,100,3.902913554274916,2.273566961288452
uncond,2.836054694770711,0.0,1.0145811029976972,2.0782872545233833,1,300,3.4062052086311945,5.030190467834473
uncond,2.003175312772083,0.0,1.0145811029976972,2.0782872545233833,1,1000,3.234109571414831,10.131101608276367
uncond,2.108320216116777,0.0,1.0145811029976972,2.0782872545233833,1,3000,3.211173013639079,21.586091995239258
uncond,2.169105726588673,0.0,1.0145811029976972,2.0782872545233833,1,10000,3.187213709830598,56.612648010253906
uncond,2.1010172603935713,0.0,1.0145811029976972,2.0782872545233833,1,30000,3.142988807404297,145.2256374359131
uncond,2.1625592289511535,0.0,1.0145811029976972,2.0782872545233833,1,100000,3.083759390711463,475.3805310726166
uncond,2.1081585820320266,0.0,1.0145811029976972,2.0782872545233833,1,200000,3.0602998560947454,855.5130381584167
