group,n_eval,trace_cov_mean,trace_cov_std,mean_err_post_mean,mean_err_post_std,mean_err_train_point_mean,mean_err_train_point_std,dist_to_nearest_other_mean,dist_to_nearest_other_std,ratio_own_vs_other_mean,ratio_own_vs_other_std,vel_rel_err_mean_mean,vel_rel_err_mean_std,vel_rel_err_median_mean,vel_rel_err_median_std,vel_abs_err_mean_mean,vel_abs_err_mean_std,trace_post,iter,train_loss,elapsed_s,dist_to_nearest_train_mean,dist_to_nearest_train_std
train,20,9.028306123964962,0.12693483576012096,0.2259528343464429,0.03535766015088051,2.9608651113629505,0.6400565792153413,1.5770132623386268,0.1429476879908198,1.9034406431804372,0.47905183257214123,0.9527761846780777,0.043827207234261666,0.9658164024353028,0.044425016212565525,4.185506153106689,0.43283562073404697,9.002008916766535,100,18.799129815915656,31.220439910888672,,
heldout,8,9.05289154125346,0.08889845838166793,0.21054998043086404,0.028426888530318054,,,,,,,,,,,,,9.002008916766535,100,18.799129815915656,31.220439910888672,1.5921111416400058,0.1399663846163264
train,20,10.378023530432687,0.1414088760401658,0.30370228972691743,0.16863264089001115,2.9385605979074048,0.6376106170342744,1.5238865463684628,0.17341044462965136,1.9701153514050485,0.5485097976538502,0.9013891667127609,0.05328416643415249,0.9150043070316315,0.054870710136649174,3.934833347797394,0.40019657551935534,9.002008916766535,300,16.98721392657966,66.06933212280273,,
heldout,8,10.466342702276254,0.186182687074727,0.22873651254616656,0.04517354258328916,,,,,,,,,,,,,9.002008916766535,300,16.98721392657966,66.06933212280273,1.5252646027330454,0.18571860298169127
train,20,8.190776019800985,0.5420563292850711,0.3409158514788685,0.24061925020658798,2.9533491408279247,0.6220045285865528,1.591291744927561,0.1697644804344699,1.8953289724277578,0.5218114818814168,0.8305164337158203,0.060829551174833574,0.8402766704559326,0.06491442474993007,3.600456643104553,0.3745549827818785,9.002008916766535,1000,13.57748397695825,88.64775323867798,,
heldout,8,8.389116085709217,0.24248101906007313,0.27313262149169265,0.04516202514986022,,,,,,,,,,,,,9.002008916766535,1000,13.57748397695825,88.64775323867798,1.5705738680894439,0.15803267293267623
train,20,6.791283687813073,0.38281580237683027,0.5868288107493983,0.4052901975743943,2.8566518500948557,0.680028162671235,1.6175541977022956,0.22953952580760473,1.8135613725093112,0.49723196896553024,0.7247211411595345,0.08813121025461548,0.7326235309243202,0.09200285901998297,3.1437721252441406,0.31034101208634235,9.002008916766535,3000,10.975525806788374,115.0814151763916,,
heldout,8,6.849768936616218,0.28246372636777484,0.5342194536313548,0.09480746390347718,,,,,,,,,,,,,9.002008916766535,3000,10.975525806788374,115.0814151763916,1.5760425830196831,0.10322724156725373
train,20,6.11146963703011,0.9364214938344533,0.8343804118923147,0.4734869639122073,2.7617735589826578,0.741007421098083,1.6284084423250416,0.3114876300317566,1.7779182929859985,0.5653343952393048,0.6107377588748932,0.10060491267883978,0.6228310942649842,0.11268708452569116,2.6468253314495085,0.34388562460222616,9.002008916766535,10000,8.476677894422162,158.50352883338928,,
heldout,8,6.622234518273368,0.3669117097156469,0.6946508034120937,0.2164457114935158,,,,,,,,,,,,,9.002008916766535,10000,8.476677894422162,158.50352883338928,1.586707171664965,0.11877508526650772
train,20,5.302476672982047,1.63218796164046,1.2980363061464526,0.5702669416582223,2.3833139070518965,0.8105723368642336,1.776121862050769,0.33970165597425067,1.4292791624725072,0.5667912309066313,0.5292172878980637,0.10994714440172876,0.5396720334887505,0.12546531333473063,2.2913166105747225,0.3696086662557048,9.002008916766535,30000,6.870832509156562,247.00483536720276,,
heldout,8,5.783068425842014,1.0013175012834505,0.9670049428854516,0.4169915578521858,,,,,,,,,,,,,9.002008916766535,30000,6.870832509156562,247.00483536720276,1.5426506774941058,0.19671957741918147
train,20,4.277186491363314,1.872722598316936,1.8337566186306482,0.7046300641787744,1.9117925988803932,0.879688384985583,1.835440956913574,0.42031367846394696,1.153159839553584,0.5917560452250846,0.4305423028767109,0.1131446276055731,0.4154368706047535,0.11818087162536146,1.8492668688297271,0.38855043883940193,9.002008916766535,100000,4.747224829461397,535.2376091480255,,
heldout,8,4.504033079215247,1.8460605726316484,1.5156384802634593,0.6494124727206958,,,,,,,,,,,,,9.002008916766535,100000,4.747224829461397,535.2376091480255,1.4848172619105289,0.5870032884401133
train,20,2.6961621331132024,1.7280430299613039,2.2073403690848084,0.7531770441606198,1.2708968291351772,0.8258219655960315,1.8717231437217123,0.48392228196322296,0.8077632416101632,0.6110312535545882,0.33566784113645554,0.09578685225492345,0.31578935906291006,0.09485250683949101,1.44432190656662,0.3510364394246673,9.002008916766535,200000,3.3836901619507955,966.2907025814056,,
heldout,8,2.7971545678714,1.5334977638549387,1.8986613051381782,0.4918708691114794,,,,,,,,,,,,,9.002008916766535,200000,3.3836901619507955,966.2907025814056,1.269198191162307,0.5409555800869968
