group,n_eval,n_significant_modes_mean,n_significant_modes_std,modes_covered_mean,modes_covered_std,mode_coverage_mean,mode_coverage_std,occupancy_tv_mean,occupancy_tv_std,max_occupancy_mean,max_occupancy_std,mmd_mean,mmd_std,sinkhorn_mean,sinkhorn_std,trace_cov_mean,trace_cov_std,dist_to_nearest_train_mean,dist_to_nearest_train_std,iter,train_loss,elapsed_s
train,12,2.0,0.0,2.0,0.0,1.0,0.0,0.3741666658933984,0.049055807027606674,0.34783333333333327,0.04494966320476964,0.026668624256645648,0.005332183543807931,6.313221831792066,13.409994060721143,5.982836858152968,0.3266373308081324,0.6713896020838982,0.0776881488234756,100,7.382462207274762,160.43411445617676
train,12,2.0,0.0,2.0,0.0,1.0,0.0,0.09958333256006524,0.04539357137543201,0.4719166666666667,0.033544642725114183,0.020189996891196705,0.0031412476614737146,7.803640702703922,1.7525468529970554,3.6114117139563597,0.239988075118733,0.7272008048969173,0.1996937254413521,300,4.387523712896622,299.99001908302307
train,12,2.0,0.0,2.0,0.0,1.0,0.0,0.10808333256006515,0.04365863384729031,0.4610833333333333,0.01907204906546634,0.0025251378360131426,0.0015924932718625075,1.7943088137864611,0.6545567084516153,4.41609760066343,0.18321355134917514,0.8550069843289906,0.15503979969149922,1000,3.1908611740284303,441.2871582508087
train,12,2.0,0.0,2.0,0.0,1.0,0.0,0.0779166660574723,0.05055270839042542,0.5054166666666667,0.03017299657346322,0.005978649426920239,0.0026328679293981454,2.4436907399515633,0.7625070541563891,4.438677117345679,0.2096591173567029,0.8816685628393947,0.13236870242198187,3000,3.1456865455999385,597.0259373188019
train,12,2.0,0.0,2.0,0.0,1.0,0.0,0.09566666605747222,0.024222348917154374,0.4945,0.025620629708628693,0.0029046303002315376,0.001795184543748067,1.014258769525513,0.3680774245386852,4.069733171490264,0.10394699043565557,0.8038554512078352,0.13160601190059454,10000,3.105440349618991,774.7377369403839
train,12,2.0,0.0,2.0,0.0,1.0,0.0,0.09191666605280456,0.03410146244474901,0.5119166666666667,0.030461610630795985,0.007275747921651873,0.005470623662886283,1.6096267503808124,0.6142965543592659,4.184259427965976,0.33648716943625423,0.7607666551650274,0.15653944208405055,30000,3.026730730684824,1033.1987183094025
train,12,2.0,0.0,2.0,0.0,1.0,0.0,0.14108333294669928,0.08746471525179995,0.582,0.0650115374375964,0.039884528629909245,0.05333343865297454,4.304736064407346,2.848357357808797,3.906257007539619,0.8841434956751155,0.4383088682572021,0.24154938240945897,100000,2.601081294678364,3667.8059730529785
train,12,2.0,0.0,2.0,0.0,1.0,0.0,0.17916666627897224,0.10094126437604381,0.5525833333333333,0.09657592723977451,0.055767870161118754,0.0760356433445002,7.649957456628609,5.6607036537896125,3.502531891909707,0.9737087325155536,0.5128739167139182,0.32121216062190056,200000,2.428887680315497,4419.954556941986
