group,n_eval,trace_cov_mean,trace_cov_std,mean_err_post_mean,mean_err_post_std,mean_err_train_point_mean,mean_err_train_point_std,dist_to_nearest_other_mean,dist_to_nearest_other_std,ratio_own_vs_other_mean,ratio_own_vs_other_std,vel_rel_err_mean_mean,vel_rel_err_mean_std,vel_rel_err_median_mean,vel_rel_err_median_std,vel_abs_err_mean_mean,vel_abs_err_mean_std,trace_cov_kernel_mean,trace_cov_kernel_std,n_eff_mean,n_eff_std,ratio_to_kernel_mean,ratio_to_kernel_std,mean_err_kernel_mean,mean_err_kernel_std,trace_post,iter,train_loss,elapsed_s,dist_to_nearest_train_mean,dist_to_nearest_train_std
train,20,1.2497274444172102,0.03914735750466009,0.2957904101683755,0.23289802179909663,1.178035079495229,0.5390629092956464,0.10102424752035306,0.05366664461686542,20.505623010500294,27.621278304975778,0.8368181377649307,0.1254400023789256,0.8662470906972886,0.1408493270148784,1.5696278095245362,0.3508155140061097,1.4163662356884275,0.1427715230635272,109.27681667718043,41.79307190293627,0.8943979661014104,0.12205087950341989,0.11361005148945247,0.08341370086192483,1.014581102997699,100,3.440177419887818,25.714752197265625,,
heldout,8,1.2508997670124078,0.0386441162724526,0.3161749184058479,0.19779601600481614,,,,,,,,,,,,,,,,,,,,,1.014581102997699,100,3.440177419887818,25.71475648880005,0.11773169714951223,0.05551678791096826
train,20,1.580749938792889,0.07481642316190859,0.2923060196465739,0.2300447381199139,1.1669221329434163,0.5510909361670854,0.09171457555702298,0.060469458529401506,22.93575451291101,26.767707708928643,0.8205099880695343,0.10412822062027122,0.8304506152868271,0.1180439816729757,1.5466213345527648,0.31625747864700926,1.4163662356884275,0.1427715230635272,109.27681667718043,41.79307190293627,1.1261330812152033,0.11081536318879022,0.08704218274408966,0.058294472254159076,1.014581102997699,300,3.1062115217346813,47.41523623466492,,
heldout,8,1.4943305369262394,0.09168197906018663,0.3901982744948199,0.23772680979571323,,,,,,,,,,,,,,,,,,,,,1.014581102997699,300,3.1062115217346813,47.415239334106445,0.10170179843571595,0.04800571093512278
train,20,1.2332199615696209,0.09974116413686702,0.23518035481722985,0.22944801574796367,1.1632994355982167,0.5444474684966256,0.11569064491863021,0.064932621189968,16.108651325262894,18.32335365729913,0.8849514871835709,0.16516600207548515,0.7683671817183495,0.1295719693307507,1.4462415277957916,0.3367970624906739,1.4163662356884275,0.1427715230635272,109.27681667718043,41.79307190293627,0.8754321063457408,0.07258262035733763,0.05579714961289649,0.03991998841040659,1.014581102997699,1000,2.5389830768909185,74.51060128211975,,
heldout,8,1.1673212956469774,0.09696864579538436,0.3427766537113094,0.23711463672574423,,,,,,,,,,,,,,,,,,,,,1.014581102997699,1000,2.5389830768909185,74.51060485839844,0.08237890399873897,0.026581839541053604
train,20,1.4738414565599194,0.12017748175920762,0.27841798173679044,0.2405557244704012,1.178427492499001,0.5165424054998117,0.10719503645735165,0.052338139308941184,16.372416721272323,18.08172918564652,0.8821212887763977,0.16127046121080182,0.7658444374799729,0.12444532315466857,1.4487961322069167,0.3126869996188929,1.4163662356884275,0.1427715230635272,109.27681667718043,41.79307190293627,1.0436907430207176,0.04907770971443644,0.1103052060291791,0.0469685281114258,1.014581102997699,3000,2.4737900260608465,108.79130983352661,,
heldout,8,1.3856803662385997,0.08291893745646457,0.3498140031730921,0.22950112291330646,,,,,,,,,,,,,,,,,,,,,1.014581102997699,3000,2.4737900260608465,108.79131293296814,0.10782484172675444,0.05604882282178043
train,20,1.4720258888942124,0.15324166487497295,0.233757383846772,0.18778069322212687,1.1537675859964847,0.5545695163533808,0.1212008160302612,0.0713515073580016,17.70390749424593,22.63230712315124,0.8530849263072013,0.16103123967305497,0.7428756818175316,0.13666763854775982,1.4017858415842057,0.32218382181944427,1.4163662356884275,0.1427715230635272,109.27681667718043,41.79307190293627,1.0398955599023654,0.04608610676915711,0.04513236580996202,0.019944784881035498,1.014581102997699,10000,2.467695881373151,177.6995666027069,,
heldout,8,1.3923089554664538,0.18173750239644237,0.31511257081744726,0.19074864249583814,,,,,,,,,,,,,,,,,,,,,1.014581102997699,10000,2.467695881373151,177.69956994056702,0.11016388141902805,0.044139911121622626
train,20,1.3569420187693106,0.1281818684831395,0.24534182519268216,0.22398555864884084,1.1688518812125395,0.5600144175544762,0.10362346936630373,0.07302008850333251,16.989491196485993,17.213395761734777,0.8520197540521621,0.1731919753510731,0.7342335283756256,0.13895515335665864,1.393895646929741,0.34220181799597243,1.4163662356884275,0.1427715230635272,109.27681667718043,41.79307190293627,0.9594091900981919,0.035169406571045767,0.0825094720467068,0.03816229216997975,1.014581102997699,30000,2.4285489656871153,343.57153058052063,,
heldout,8,1.2519865383755866,0.1464758469738097,0.3996562922623348,0.2432193747763291,,,,,,,,,,,,,,,,,,,,,1.014581102997699,30000,2.4285489656871153,343.57153367996216,0.08728152409034859,0.04466005632306586
train,20,1.436364645746268,0.15515682134552752,0.2567119876931682,0.17633998822163657,1.1657710608971967,0.5599655575023266,0.10733606146918709,0.07663601587803434,20.011497372350338,20.17010553830958,0.8192493543028831,0.19240094727123275,0.7241550192236901,0.1620897511040644,1.3432797163724899,0.31512630550689846,1.4163662356884275,0.1427715230635272,109.27681667718043,41.79307190293627,1.0139685462718282,0.03939654716126402,0.060709095761388124,0.02340611029556973,1.014581102997699,100000,2.3631146616849863,866.5815119743347,,
heldout,8,1.3102916044085902,0.20785864613140972,0.31717902928376,0.1833419085751619,,,,,,,,,,,,,,,,,,,,,1.014581102997699,100000,2.3631146616849863,866.5815155506134,0.12234548658869059,0.05767211829308299
train,20,1.476765079629083,0.14747597088617492,0.21264221214324014,0.23038882152780926,1.1692671207517087,0.5434798318888792,0.13657659604190556,0.07254216845382214,10.326439803018525,5.845630771802653,0.8289192840456963,0.1965087121769711,0.7224248975515366,0.14676483771816642,1.3364208668470383,0.31260688462368963,1.4163662356884275,0.1427715230635272,109.27681667718043,41.79307190293627,1.0431764154630891,0.03133931993134338,0.07134983555441436,0.020729877696251526,1.014581102997699,200000,2.3451101358891773,1599.6845552921295,,
heldout,8,1.3600329242954066,0.1763828853766585,0.3787464235932758,0.24315150902953317,,,,,,,,,,,,,,,,,,,,,1.014581102997699,200000,2.3451101358891773,1599.6845586299896,0.11256703774003242,0.0397683623506257
