h,rho,mmd,sinkhorn,trace_cov,mean_err
0.0,0.0,0.4398138171633857,2.178385567595906,0.0,0.8978590041024263
0.0,0.05,0.4351007012850976,nan,0.005038292221300299,0.8988639899160576
0.0,0.1,0.41932285260236035,nan,0.020153168885201196,0.8998802827791557
0.0,0.2,0.3702567230746608,nan,0.08061267554080477,0.9019460149940784
0.0,0.3,0.31667140854405296,nan,0.18137852783250477,0.9040546511482073
0.0,0.5,0.23629202011442094,nan,0.5038292044481528,0.9083944977198837
0.01,0.0,0.21241948926996007,nan,0.40850437099892706,0.6492195450107633
0.01,0.05,0.2110419455668524,nan,0.41227392155191867,0.6501329249142567
0.01,0.1,0.2045400796783389,nan,0.42612005654751106,0.6510584611805474
0.01,0.2,0.1836566012630155,nan,0.4840420798664975,0.6529457226199117
0.01,0.3,0.16145932682387662,nan,0.5822704485721595,0.6548807479769192
0.01,0.5,0.13238538574439437,nan,0.8996461591022498,0.6588916061843229
0.05,0.0,0.04839709736507216,nan,1.0109136989370404,0.21192951847228383
0.05,0.05,0.04946311690416557,nan,1.0161009307604467,0.2131976689092146
0.05,0.1,0.04827119601021151,nan,1.031364747026453,0.2145465468178375
0.05,0.2,0.04440719576193726,0.2684897242783448,1.092122132886268,0.2174592844933215
0.05,0.3,0.04141181637799291,nan,1.1931858641392221,0.22061988175762617
0.05,0.5,0.043858120835912714,nan,1.5162322992735464,0.22753735496394034
0.1,0.0,0.029848225578752607,0.1680188086015005,0.9760184315250899,0.16479860188262044
0.1,0.05,0.030380716355477056,nan,0.9812443551617258,0.16598471975759582
0.1,0.1,0.02952459488622272,0.1575556713822171,0.9965468632409621,0.1672160324919149
0.1,0.2,0.027200829032716155,0.15899758932985886,1.0573816327272365,0.16979440263461842
0.1,0.3,0.02626441302045919,0.18248446762382284,1.158522747617004,0.17250457297446686
0.1,0.5,0.032612052036994583,nan,1.481723950123705,0.17825595775191047
0.5,0.0,0.008918364568679144,0.10574679377339125,1.0891282906738007,0.09139596790818524
0.5,0.05,0.009927360625231418,nan,1.0923042137062997,0.09201036813643317
0.5,0.1,0.010389750184762472,nan,1.105556721181399,0.09265343963813548
0.5,0.2,0.012255782320834232,0.13095236947270253,1.1622914894594008,0.09402219589445382
0.5,0.3,0.015699321765638135,nan,1.259332603341219,0.09551994326710993
0.5,0.5,0.027719589683611382,nan,1.5743338036177779,0.10033180775771527
