d,N,trace_post,ot_floor,floor_over_trace
2,50,1.0040473220529973,0.01936118612206175,0.01928314104007918
2,200,1.0040473220529973,0.01379127486410542,0.013735682134887928
2,1000,1.0040473220529973,0.019833805079693307,0.019753854867257347
5,200,4.001147157932653,0.6226756414739374,0.1556242789619532
10,200,9.00081844721856,4.273139099838275,0.47475006021910865
10,50,9.00081844721856,4.272512978803688,0.47468049754119673
