h,seed,trace_meas,trace_kernel,trace_post,trace_expansion,j_fro_sq,ratio_to_kernel,ratio_to_kernel_median,ratio_to_post,n_eff,mean_err_kernel
0.01,0,0.6314462363499725,0.42698294563262734,1.0040473220529973,1.0040876314653693,0.40309412371956194,1.4788558719000073,1.9124407187150463,0.628900871981652,2.2031422303275607,0.2544879166164379
0.01,1,0.6611296741968189,0.6015507386010244,1.019281376574483,1.0194704726254018,1.8909605091877206,1.099042244939059,1.3004412351493397,0.6486233236387474,4.464519078858786,0.14600720093868325
0.01,2,0.7521597589533912,0.819874322218362,1.0467556993875196,1.0472013954271426,4.456960396230206,0.9174086058924821,1.0049270823768426,0.7185628503322188,5.160691463961991,0.11486147639103614
0.05,0,1.0637580576763708,0.9734294686152409,1.0040473220529973,1.0050550573622963,0.40309412371956194,1.0927941797258587,1.0852679133833458,1.0594700412140752,8.22472650477636,0.09506590308981433
0.05,1,0.8307217345880072,0.8668156096047662,1.019281376574483,1.0240087778474523,1.8909605091877206,0.9583603772050017,0.9499809177941754,0.8150072724568249,17.39258392803643,0.061538187517503326
0.05,2,0.9480563738532908,0.9799442875129458,1.0467556993875196,1.0578981003780952,4.456960396230206,0.9674594626796742,0.9830971269401011,0.905709301996655,21.651713772857214,0.05366341810256797
0.1,0,1.2139952796591007,1.1445310993716162,1.0040473220529973,1.008078263290193,0.40309412371956194,1.060692261071475,1.0679002549006609,1.2091016558630108,15.438212792470116,0.05362391803174292
0.1,1,0.8402389330513229,0.886132306091195,1.019281376574483,1.0381909816663601,1.8909605091877206,0.9482093444461904,0.9411519722704265,0.8243444375243358,31.763048153954884,0.048516733198063954
0.1,2,1.0202587765974815,1.0526700719445463,1.0467556993875196,1.0913253033498216,4.456960396230206,0.9692103953452453,0.9753877585657246,0.9746866219065805,43.90306183755774,0.034253214741052085
0.5,0,1.2856786622935021,1.2439037460037956,1.0040473220529973,1.1048208529828878,0.40309412371956194,1.0335837209461858,1.04150688121688,1.2804960822609905,61.872491769053184,0.05358141878707472
0.5,1,1.192841149605217,1.1935010999169786,1.019281376574483,1.4920215038714133,1.8909605091877206,0.9994470467502647,1.007450034119358,1.1702766056748914,119.86079130143844,0.046735626177475995
0.5,2,1.4856969218607508,1.5261028527472114,1.0467556993875196,2.1609957984450707,4.456960396230206,0.9735234549796405,0.9741577919722885,1.4193349247871931,160.534686264195,0.03265165785880462
