run,h,mmd_to_post,mmd_std,sinkhorn_to_post,sinkhorn_std,trace_kernel
exp1_cond_seed0,0.0,0.2563075347470738,0.1575269439164381,1.3362298437467932,1.4118651222891125,0.0
p7y_h0.01_seed0,0.01,0.13875403257026175,0.13273041465415947,0.7324703538293964,0.8752828579527612,0.411258782523375
p7y_h0.05_seed0,0.05,0.05363871543778674,0.03253850609612746,0.2872529384069634,0.17306924149835937,1.0370986078505702
p7y_h0.1_seed0,0.1,0.024433683529198905,0.01849894421621609,0.1393793161169053,0.06010326205621928,0.9999656327084158
p7y_h0.5_seed0,0.5,0.011643981737181211,0.005367806109371759,0.119162995334999,0.03272071233178092,1.0724350560510727
