group,n_eval,trace_cov_mean,trace_cov_std,mean_err_post_mean,mean_err_post_std,mean_err_train_point_mean,mean_err_train_point_std,dist_to_nearest_other_mean,dist_to_nearest_other_std,ratio_own_vs_other_mean,ratio_own_vs_other_std,vel_rel_err_mean_mean,vel_rel_err_mean_std,vel_rel_err_median_mean,vel_rel_err_median_std,vel_abs_err_mean_mean,vel_abs_err_mean_std,trace_cov_kernel_mean,trace_cov_kernel_std,n_eff_mean,n_eff_std,ratio_to_kernel_mean,ratio_to_kernel_std,mean_err_kernel_mean,mean_err_kernel_std,memorization_ratio_mean,memorization_ratio_std,trace_post,iter,train_loss,elapsed_s,dist_to_nearest_train_mean,dist_to_nearest_train_std
train,20,0.8229400955880406,0.03129888596350093,0.2078962698565993,0.04868036894880618,0.890445478705297,0.7149740707446652,0.1123519124556617,0.08816255848287637,14.206985160439213,14.539292976621281,0.7868696928024292,0.19457897268033045,0.7718935996294022,0.18936340153987893,1.3986903518438338,0.5451079879901067,0.0,0.0,1.0,0.0,,,0.890445478705297,0.7149740707446652,0.11080000000000001,0.019304403642692515,1.019281376574483,100,2.9477628876400233,52.77686786651611,,
heldout,8,0.8262643726686345,0.03795403928053289,0.15106587315149886,0.04667385268746304,,,,,,,,,,,,,,,,,,,,,0.10075,0.013292385038058444,1.019281376574483,100,2.9477628876400233,52.77686786651611,0.11722968537442269,0.0762368436914667
train,20,0.8197786492576901,0.09828530321539079,0.3515215646095827,0.0465875265310006,0.8802604969309522,0.6936934953397849,0.14963985816274766,0.1374429712535165,24.02621252631596,52.42710829493526,0.7653920620679855,0.25002195976584346,0.6907299369573593,0.21918815755040047,1.2714147210121154,0.4938866289006993,0.0,0.0,1.0,0.0,,,0.8802604969309522,0.6936934953397849,0.11545000000000001,0.02257537375105892,1.019281376574483,300,2.2264822605839196,127.68067908287048,,
heldout,8,0.7433130562333018,0.1257304786519964,0.3260503362140541,0.04881221917531755,,,,,,,,,,,,,,,,,,,,,0.09912499999999999,0.018664387881738846,1.019281376574483,300,2.2264822605839196,127.68067908287048,0.1662918761840721,0.105269866374857
train,20,0.9148802605531714,0.2062753348641721,0.23335724325409107,0.07446172989938687,0.8902678452081499,0.7032424563965823,0.14891809574415987,0.1226177403719937,13.216149426116399,19.252362727794445,0.7434048429131508,0.2224032799065625,0.6319913059473038,0.2054109983403377,1.195906686782837,0.48699168368845236,0.0,0.0,1.0,0.0,,,0.8902678452081499,0.7032424563965823,0.11210000000000002,0.02364719856558066,1.019281376574483,1000,1.7096507023536345,203.41055297851562,,
heldout,8,0.7447161309714692,0.205577605983777,0.16167702408958493,0.07984450683013852,,,,,,,,,,,,,,,,,,,,,0.098375,0.028722541235064836,1.019281376574483,1000,1.7096507023536345,203.41055297851562,0.16761172716902142,0.1765468331335927
train,20,0.8295024062629158,0.16242338360669223,0.21107430229186003,0.08158655984385876,0.897950402925227,0.685014640054357,0.14782711435899162,0.10019846672805366,11.80116742288121,18.1605113729956,0.7618344828486443,0.24147967174288482,0.6271641284227372,0.20690388119644065,1.1914043486118318,0.47685133521737894,0.0,0.0,1.0,0.0,,,0.897950402925227,0.685014640054357,0.11404999999999998,0.030198468504213916,1.019281376574483,3000,1.6743354114118547,289.57927441596985,,
heldout,8,0.6756605670309356,0.24742956601554622,0.1536653901757502,0.09804201675112185,,,,,,,,,,,,,,,,,,,,,0.1005,0.0225333086784875,1.019281376574483,3000,1.6743354114118547,289.57927441596985,0.14832160013385184,0.14107954915427898
train,20,0.9098121944950901,0.3036997429460633,0.2666930586730783,0.1090541036453898,0.9106565468347918,0.6554612387273677,0.14942393574250068,0.09110673884120399,10.659336498080886,13.250218474389532,0.7605119675397873,0.22081566160270122,0.6223501339554787,0.1966182324664656,1.1661902993917466,0.4268858179914898,0.0,0.0,1.0,0.0,,,0.9106565468347918,0.6554612387273677,0.127,0.048611726980225665,1.019281376574483,10000,1.6418379691163953,418.1617736816406,,
heldout,8,0.6999931427175294,0.3734852935056171,0.24489892250974193,0.24136809931090014,,,,,,,,,,,,,,,,,,,,,0.095625,0.04136404688857221,1.019281376574483,10000,1.6418379691163953,418.1617736816406,0.20630734531750233,0.2247110018397227
