group,n_eval,trace_cov_mean,trace_cov_std,mean_err_post_mean,mean_err_post_std,mean_err_train_point_mean,mean_err_train_point_std,dist_to_nearest_other_mean,dist_to_nearest_other_std,ratio_own_vs_other_mean,ratio_own_vs_other_std,vel_rel_err_mean_mean,vel_rel_err_mean_std,vel_rel_err_median_mean,vel_rel_err_median_std,vel_abs_err_mean_mean,vel_abs_err_mean_std,trace_cov_kernel_mean,trace_cov_kernel_std,n_eff_mean,n_eff_std,ratio_to_kernel_mean,ratio_to_kernel_std,mean_err_kernel_mean,mean_err_kernel_std,memorization_ratio_mean,memorization_ratio_std,trace_post,iter,train_loss,elapsed_s,dist_to_nearest_train_mean,dist_to_nearest_train_std
train,20,1.700293793793481,0.05300343082493234,0.1513236282414763,0.06331966907236126,1.0527274795849748,0.8161085082127675,0.18692492898829682,0.10947857171374252,7.184807860483879,6.379549020873441,0.9624077320098877,0.08255733503902515,0.8680873602628708,0.1378355348224106,1.6438675403594971,0.568578168843701,0.0,0.0,1.0,0.0,,,1.0527274795849748,0.8161085082127675,0.10364999999999999,0.013705017329430854,1.0040473220529973,100,3.934532610435253,101.28652119636536,,
heldout,8,1.6894204665529795,0.055709605050833264,0.2579709151900399,0.14612576788733161,,,,,,,,,,,,,,,,,,,,,0.104,0.02552939482243949,1.0040473220529973,100,3.934532610435253,101.28652119636536,0.2590667665065141,0.2812550016411479
train,20,1.0733815952672896,0.047307182033914055,0.07482636317311087,0.032878599812573794,1.0361172051410834,0.8619234223156303,0.16496867057678363,0.10967192380324849,9.405027031701064,9.61033941498323,0.7936810553073883,0.08193232976660833,0.8087522894144058,0.11688331848175125,1.4567533075809478,0.6355729254936514,0.0,0.0,1.0,0.0,,,1.0361172051410834,0.8619234223156303,0.10450000000000001,0.01695140112203118,1.0040473220529973,300,2.693782707554382,219.89371800422668,,
heldout,8,1.0645942333814147,0.05402587897006702,0.10207196472553019,0.04809609708654812,,,,,,,,,,,,,,,,,,,,,0.11674999999999999,0.024169971038460098,1.0040473220529973,300,2.693782707554382,219.89371800422668,0.1600805588046209,0.17118905360106482
train,20,1.8659348298081226,0.09672934374535505,0.10012070078747241,0.05247740862956775,1.0583037338368126,0.8562180609445124,0.14073494136886522,0.10174535195681174,10.196307594059578,8.939867961702786,0.7106000065803528,0.0966499843311071,0.7071429848670959,0.11649947919718842,1.2736137598752975,0.46174061397348487,0.0,0.0,1.0,0.0,,,1.0583037338368126,0.8562180609445124,0.10675000000000001,0.030059732201069257,1.0040473220529973,1000,2.13661609575895,337.2098591327667,,
heldout,8,1.782280089965738,0.11294564290770925,0.1387294171435246,0.05223663239609539,,,,,,,,,,,,,,,,,,,,,0.111625,0.04245567541566145,1.0040473220529973,1000,2.13661609575895,337.2098591327667,0.197691437141427,0.22035659457360504
train,20,1.098337452350022,0.31552122228110635,0.09084210394251296,0.06337932719164609,1.0329750354117422,0.8119116985631444,0.15715419555489585,0.09827574890114213,11.3521186508553,15.587125424204503,0.7179587483406067,0.17583395837957588,0.6139285385608673,0.14147407754538144,1.1840421736240387,0.4809572220623477,0.0,0.0,1.0,0.0,,,1.0329750354117422,0.8119116985631444,0.11565,0.02785368018772385,1.0040473220529973,3000,1.7871960290715518,464.09972310066223,,
heldout,8,1.1207248899650666,0.279427214519913,0.07101317785827088,0.04440345110655636,,,,,,,,,,,,,,,,,,,,,0.11474999999999999,0.04792115920968523,1.0040473220529973,3000,1.7871960290715518,464.09972310066223,0.1845093832142375,0.2127392393842016
train,20,1.0793684155764556,0.34784927381329334,0.20345018077399488,0.24879443929489797,0.9857009750756209,0.7836794722662286,0.11185844927273089,0.09982520515171392,19.150689395479738,23.567059901177927,0.7101899981498718,0.1735896896847032,0.6006617814302444,0.1583429328779692,1.1507729977369308,0.4345236517107961,0.0,0.0,1.0,0.0,,,0.9857009750756209,0.7836794722662286,0.12585000000000002,0.02964333820607929,1.0040473220529973,10000,1.698394138367062,634.4259281158447,,
heldout,8,1.1341417684941062,0.2780143535926827,0.12438433873385095,0.07390941488079565,,,,,,,,,,,,,,,,,,,,,0.108875,0.03604662778957277,1.0040473220529973,10000,1.698394138367062,634.4259281158447,0.17772013806518933,0.2230621065527045
train,20,1.2603688489682252,0.77175828308181,0.2992653863195613,0.293793936083381,0.9412288697503712,0.7421551940476437,0.11384134864099242,0.08106575730910728,20.575677594542647,34.50563034748802,0.6594790518283844,0.1942543023230674,0.5416631639003754,0.17208732055866036,1.0360959947109223,0.33458960523427034,0.0,0.0,1.0,0.0,,,0.9412288697503712,0.7421551940476437,0.153,0.07446945682627207,1.0040473220529973,30000,1.5792555908375696,897.539555311203,,
heldout,8,0.8947799835754173,0.2757551870468604,0.34655987905538566,0.5970631357597613,,,,,,,,,,,,,,,,,,,,,0.201125,0.15181686130005453,1.0040473220529973,30000,1.5792555908375696,897.539555311203,0.18567137301799264,0.1786689624895434
train,20,0.764852429504195,0.3185195495741462,0.5263354949231553,0.5813786716328401,0.7419242176888575,0.4502517397922731,0.15842388891683643,0.1211084227814389,7.460829973888846,5.637581086259524,0.6387405924499034,0.23108798481174608,0.505054522678256,0.18042558064420341,0.9192442752420902,0.324666245385601,0.0,0.0,1.0,0.0,,,0.7419242176888575,0.4502517397922731,0.2535,0.2129033818425626,1.0040473220529973,100000,1.1845631582206,1597.87668967247,,
heldout,8,0.5594615258026834,0.4755872161380812,0.6349923241297545,0.6627352684386862,,,,,,,,,,,,,,,,,,,,,0.2905,0.19306540342588574,1.0040473220529973,100000,1.1845631582206,1597.87668967247,0.17427189456209063,0.17876272315000274
