group,n_eval,n_significant_modes_mean,n_significant_modes_std,modes_covered_mean,modes_covered_std,mode_coverage_mean,mode_coverage_std,occupancy_tv_mean,occupancy_tv_std,max_occupancy_mean,max_occupancy_std,mmd_mean,mmd_std,sinkhorn_mean,sinkhorn_std,trace_cov_mean,trace_cov_std,dist_to_nearest_train_mean,dist_to_nearest_train_std,memorization_ratio_mean,memorization_ratio_std,iter,train_loss,elapsed_s
train,8,2.0,0.0,2.0,0.0,1.0,0.0,0.3673437475371056,0.04289083986810391,0.33515625,0.019539998040877596,0.02457846828791261,0.004888986844055875,26.39140583020056,27.16015633845726,6.376351110876949,0.4177598673197406,0.9091273751139703,0.2895842025734584,0.066875,0.011907849302036033,100,7.542166998570931,108.56573843955994
train,8,2.0,0.0,2.0,0.0,1.0,0.0,0.1334374975378033,0.03940350930865478,0.48546875,0.03209444984631298,0.006353230133592222,0.005147332537632344,1.9234124941192676,0.8502379638124478,4.597432001404868,0.17091682264839617,1.0818667557270933,0.09277906307178362,0.12828124999999999,0.021829752310493587,1000,3.15070607067537,211.6152641773224
train,8,2.0,0.0,1.875,0.33071891388307384,0.9375,0.16535945694153692,0.16343749999642687,0.132189716296958,0.6439062499999999,0.133018498331764,0.06685051834415016,0.0732944266731888,9.275002114874953,8.905081651229047,3.325281801366114,1.1333261124022216,0.6665010573049129,0.2881427852087324,0.1990625,0.10828158820293506,10000,2.738241231710137,381.7638463973999
train,8,2.0,0.0,1.625,0.4841229182759271,0.8125,0.24206145913796356,0.30218750117304183,0.1670174381498221,0.8015625,0.16640118830329909,0.17098558638829464,0.120535811754774,25.91772330095339,25.42697976330581,2.19401242188839,1.7626078967097165,0.2341956810384945,0.16501002906572376,0.5584375,0.21852734203927435,30000,1.6506465455235442,642.3129134178162
train,8,2.0,0.0,1.5,0.5,0.75,0.25,0.2876562512314472,0.191587160753248,0.78765625,0.19158715940385332,0.18717663666109363,0.15301570904541922,23.597257069437337,24.15293516314771,2.406359632485504,2.046048247486025,0.33791128921529034,0.3155323265547992,0.855,0.11336128638119805,100000,1.093454661522837,1359.2741391658783
train,8,2.0,0.0,1.5,0.5,0.75,0.25,0.3462500012314472,0.134239758830179,0.84625,0.1342397575236189,0.21500878771014914,0.1239100814293659,70.32767034793001,131.01090896539742,1.9279271449234052,1.605248724056905,0.24185517765465736,0.1565025117432602,0.8790625000000001,0.17677199960330256,200000,0.9329995453422801,2296.6715519428253
train,8,2.0,0.0,1.375,0.4841229182759271,0.6875,0.24206145913796356,0.39671875123144723,0.13266784483750507,0.89671875,0.13266784401631582,0.2819229984900295,0.12384059982204833,181.53736928055463,299.70781240613763,1.3916149096812673,1.460431902760241,0.25647973521207285,0.278864775942418,0.9493750000000001,0.03720194047358282,300000,0.6815504946246037,2721.7514345645905
