group,n_eval,trace_cov_mean,trace_cov_std,mean_err_post_mean,mean_err_post_std,mean_err_train_point_mean,mean_err_train_point_std,dist_to_nearest_other_mean,dist_to_nearest_other_std,ratio_own_vs_other_mean,ratio_own_vs_other_std,vel_rel_err_mean_mean,vel_rel_err_mean_std,vel_rel_err_median_mean,vel_rel_err_median_std,vel_abs_err_mean_mean,vel_abs_err_mean_std,trace_cov_kernel_mean,trace_cov_kernel_std,n_eff_mean,n_eff_std,ratio_to_kernel_mean,ratio_to_kernel_std,mean_err_kernel_mean,mean_err_kernel_std,trace_post,iter,train_loss,elapsed_s,dist_to_nearest_train_mean,dist_to_nearest_train_std
train,20,1.0388771033352635,0.037703732683919584,0.18078503616931657,0.0695366594966406,0.7942958106797693,0.5465539047101541,0.19438460535073118,0.0800979327575455,4.790025954567336,4.272592600100388,0.8320885062217712,0.1372460812751357,0.7951241612434388,0.10916986590819293,1.2678222715854646,0.2860577366724343,0.0,0.0,1.0,0.0,,,0.7942958106797693,0.5465539047101541,1.014581102997699,100,2.950728727938463,23.3996684551239,,
heldout,8,1.0387294205882132,0.03741515742991522,0.2784117044665996,0.06692865157025284,,,,,,,,,,,,,,,,,,,,,1.014581102997699,100,2.950728727938463,23.39967370033264,0.3813124248042473,0.2776258831932176
train,20,0.9636291957750783,0.17934147016200525,0.07534252530989029,0.03540185966094958,0.8122399141844484,0.5542726078378887,0.23384298618593652,0.09167761320106349,4.933042326855792,6.851487700032563,0.770936444401741,0.1593161811606297,0.6581418558955192,0.15022122602651028,1.115781733393669,0.32382394015957094,0.0,0.0,1.0,0.0,,,0.8122399141844484,0.5542726078378887,1.014581102997699,300,2.1277290125353234,46.18162131309509,,
heldout,8,1.2909943175507075,0.3778273015086276,0.19279935748669197,0.19315578779545475,,,,,,,,,,,,,,,,,,,,,1.014581102997699,300,2.1277290125353234,46.18162441253662,0.35955486444156076,0.1990262662209142
train,20,0.7764916337025092,0.056367428836958666,0.24238156500428792,0.21245148757734503,0.739935545288302,0.5734947891401606,0.19182282617517876,0.09707082043490829,7.791969330731575,16.43220738104773,0.7530716925859451,0.21280686740365634,0.6115229040384292,0.18772080850041561,1.04857397377491,0.37006619705508786,0.0,0.0,1.0,0.0,,,0.739935545288302,0.5734947891401606,1.014581102997699,1000,1.5983504234012826,72.382483959198,,
heldout,8,0.5967911389095029,0.29754220230710626,0.9628087203347013,1.1816892073180718,,,,,,,,,,,,,,,,,,,,,1.014581102997699,1000,1.5983504234012826,72.3824872970581,0.466505477625084,0.6467626489090564
train,20,0.7929788746262335,0.2748904645428565,0.27763730111114093,0.1795992214275703,0.754769146007396,0.5978754760492909,0.16542228813585397,0.08514452918383211,6.556356259040923,6.240170686400928,0.7259273439645767,0.1886772834389593,0.5952164962887764,0.18712319082261228,1.021560373902321,0.358407632513992,0.0,0.0,1.0,0.0,,,0.754769146007396,0.5978754760492909,1.014581102997699,3000,1.4568669750859218,108.18144154548645,,
heldout,8,0.5324148650777101,0.3684223175911229,0.8927107066151634,1.2734395403953493,,,,,,,,,,,,,,,,,,,,,1.014581102997699,3000,1.4568669750859218,108.18144488334656,0.4984652073472573,0.6804372000919615
train,20,0.41568797088619547,0.4723909824227671,0.5503387042086632,0.40278964872044326,0.37557830925035535,0.3392508783146597,0.2110453589221383,0.10383701870118926,2.675082893949183,3.3632027914148637,0.43576912879943847,0.18521219744215806,0.31987625136971476,0.14250961375803198,0.5578545026481152,0.214653641986247,0.0,0.0,1.0,0.0,,,0.37557830925035535,0.3392508783146597,1.014581102997699,10000,0.6693030776722239,179.904883146286,,
heldout,8,0.2869875302013021,0.5392357176251239,1.1890755290983297,0.8632729528878355,,,,,,,,,,,,,,,,,,,,,1.014581102997699,10000,0.6693030776722239,179.9048867225647,0.3431781898230039,0.4290794399196851
train,20,0.06748678668657049,0.11526331620933922,0.7060169532915888,0.5862606878590353,0.15004397727704244,0.23494431878359237,0.22703048643403312,0.103020409227298,0.7983666172312441,1.3050051499419888,0.25241214223206043,0.16265173847615372,0.1762747945263982,0.12144516425250187,0.305732661858201,0.2112563611186474,0.0,0.0,1.0,0.0,,,0.15004397727704244,0.23494431878359237,1.014581102997699,30000,0.21994779569298806,342.4106056690216,,
